"Name","State","Notes","User","Tags","Created","Runtime","Sweep","aggr","arch","batch_size","dropout","edge_hidden","heads","hidden_dim","jk_mode","lr","lr_scheduler","max_epochs","n_edge_params","n_params","notebook","num_layers","patience","pool","seed","use_random_edges","best_epoch","best_val_pr_auc","epoch","pruned","test_confusion","test_f1","test_pr_auc","test_precision","test_recall","test_roc_auc","test_threshold","train/loss","val/pr_auc","val/roc_auc","wall_seconds"
"wb03c3_gine_h256","running","-","","gine, jk_cat, pool_max, wb03c3","2026-02-15T15:46:38.000Z","518","","","gine","","0.3","","2","256","cat","0.0013122036432752296","","","","592418","wb03c3","3","","max","","","","","9","","","","","","","","","0.38393796420995474","0.3830640189051652","0.9196534764956876",""
"wb03c2_nnconv_h64_eh128","killed","-","","jk_cat, nnconv, pool_attention, wb03c2","2026-02-15T14:54:54.000Z","3035","","mean","","","0.35","128","","64","cat","0.0021160315345129916","","","907968","940227","wb03c2","2","","attention","","false","","","56","","","","","","","","","0.32849918904719955","0.3915451269279799","0.9080991423649788",""
"wb03c2_nnconv_h256_eh128","finished","-","","jk_cat, nnconv, pool_max, wb03c2","2026-02-15T14:23:06.000Z","1905","","mean","","","0.25","128","","256","cat","0.0010000632211944547","","","9898752","10108674","wb03c2","2","","max","","false","20","0.3977492678513817","35","","[[23672,137],[378,175]]","0.4046242774566474","0.3832038217632025","0.5608974358974359","0.31645569620253167","0.9028985726293572","0.9004491567611694","0.2701433513753094","0.35637271552189065","0.9005980315176305","1891.4346239566803"
"wb03c2_nnconv_h128_eh64","finished","-","","jk_cat, nnconv, pool_attention, wb03c2","2026-02-15T13:43:10.000Z","2393","","mean","","","0.15000000000000002","64","","128","cat","0.0011213639428411515","","","363904","403203","wb03c2","1","","attention","","false","29","0.4063146962293512","44","","[[23647,162],[367,186]]","0.41287458379578246","0.39341643145672395","0.5344827586206896","0.33634719710669075","0.9056296960052108","0.9490731358528136","0.2499293332079391","0.33241586570111675","0.889000024347339","2377.1851036548615"
"wb03c2_nnconv_h64_eh128","finished","-","","jk_cat, nnconv, pool_max, wb03c2","2026-02-15T12:59:39.000Z","2608","","add","","","0.1","128","","64","cat","0.001060745441186502","","","367296","374530","wb03c2","1","","max","","false","33","0.3726472210794634","48","","[[23436,373],[362,191]]","0.341987466427932","0.3195712694171708","0.33865248226950356","0.3453887884267631","0.8848688595199726","0.9267492294311525","0.213069433834514","0.32755678829722984","0.8709724935936063","2593.415152311325"
"wb03c2_nnconv_h128_eh64","finished","-","","jk_none, nnconv, pool_attention, wb03c2","2026-02-15T12:33:21.000Z","1575","","mean","","","0.05","64","","128","none","0.0005566218300159743","","","1435008","1491075","wb03c2","2","","attention","","false","14","0.3988558260998447","29","","[[23695,114],[378,175]]","0.4156769596199525","0.3896638523584391","0.6055363321799307","0.31645569620253167","0.901640215831584","0.9636028409004213","0.1529996828174388","0.3247648276047695","0.8800230082354876","1561.0307793617249"
"wb03b_gatv2_max_max","finished","-","","gatv2, jk_max, pool_max, wb03b","2026-02-15T11:13:23.000Z","1838","","","gatv2","","0.2","","1","256","max","0.0005689009825659907","cosine","","","222466","wb03b","2","","max","","","60","0.5216808357582216","75","","[[23741,68],[345,208]]","0.5018094089264173","0.5051672247828215","0.7536231884057971","0.37613019891500904","0.929164454276222","0.9643707871437072","0.17348067302539977","0.5109857266676352","0.9246860714959616","1830.906972169876"
"wb03b_gatv2_cat_attention","finished","-","","gatv2, jk_cat, pool_attention, wb03b","2026-02-15T10:51:32.000Z","1309","","","gatv2","","0.2","","1","256","cat","0.00075","none","","","551171","wb03b","2","","attention","","","38","0.5398359677527371","53","","[[23671,138],[319,234]]","0.505945945945946","0.4963205359808657","0.6290322580645161","0.4231464737793852","0.932171773601804","0.9246956706047058","0.26527358593181805","0.5124304494551759","0.9322559635763806","1301.3392751216888"
"wb03b_gatv2_cat_max","finished","-","","gatv2, jk_cat, pool_max, wb03b","2026-02-15T10:21:08.000Z","1821","","","gatv2","","0.2","","1","256","cat","0.00075","none","","","288002","wb03b","2","","max","","","60","0.5244709557218366","75","","[[23626,183],[305,248]]","0.5040650406504065","0.5156592248786444","0.5754060324825986","0.4484629294755877","0.932317523643748","0.9023427963256836","0.2169665553214243","0.48446028916637296","0.9199526444253724","1814.5468156337736"
"wb03b_gatv2_none_attention","finished","-","","gatv2, jk_none, pool_attention, wb03b","2026-02-15T09:52:00.000Z","1746","","","gatv2","","0.2","","1","256","none","0.00075","none","","","288515","wb03b","2","","attention","","","56","0.5343871723316297","71","","[[23698,111],[330,223]]","0.5028184892897407","0.5197408042702049","0.6676646706586826","0.4032549728752261","0.9384530763474266","0.9687395095825196","0.25038590217811874","0.5078646935895376","0.9284051275496228","1738.914402961731"
"wb03b_gatv2_none_max","finished","-","","gatv2, jk_none, pool_max, wb03b","2026-02-15T09:27:05.000Z","1492","","","gatv2","","0.2","","1","256","none","0.00075","none","","","222466","wb03b","2","","max","","","46","0.5429187210797112","61","","[[23684,125],[332,221]]","0.4916573971078977","0.4886817207213983","0.638728323699422","0.3996383363471971","0.9281773186351872","0.9176020622253418","0.24751580395879683","0.5239464912068931","0.9281540456147398","1484.94327378273"
"wb03b_gatv2_none_max","finished","-","","gatv2, jk_none, pool_max, wb03b","2026-02-15T09:22:58.000Z","244","","","gatv2","","0.1","","1","128","none","0.0006520523348364381","cosine","","","62082","wb03b","2","","max","","","","","10","true","","","","","","","","0.34630612943458694","0.4156895485513507","0.9180374218602584",""
"wb03b_gatv2_none_max","finished","-","","gatv2, jk_none, pool_max, wb03b","2026-02-15T09:18:50.000Z","245","","","gatv2","","0.05","","1","128","none","0.0005949539581642781","cosine","","","62082","wb03b","2","","max","","","","","10","true","","","","","","","","0.3455507812474611","0.4346205023992752","0.9170857452416168",""
"wb03b_gatv2_none_max","finished","-","","gatv2, jk_none, pool_max, wb03b","2026-02-15T09:06:10.000Z","757","","","gatv2","","0.1","","1","128","none","0.0005155265802608599","cosine","","","62082","wb03b","2","","max","","","","","31","true","","","","","","","","0.26980202626355465","0.4884783736115805","0.9231820146205773",""
"wb03b_gatv2_none_max","finished","-","","gatv2, jk_none, pool_max, wb03b","2026-02-15T09:01:13.000Z","294","","","gatv2","","0.1","","1","128","none","0.0005786331528773152","cosine","","","62082","wb03b","2","","max","","","","","12","true","","","","","","","","0.34551645366539363","0.4534261285169857","0.9186047148622244",""
"wb03b_gatv2_none_max","finished","-","","gatv2, jk_none, pool_max, wb03b","2026-02-15T08:28:42.000Z","1948","","","gatv2","","0.1","","1","128","none","0.0005894871340858461","cosine","","","62082","wb03b","2","","max","","","66","0.5402942235814214","80","","[[23668,141],[316,237]]","0.5091299677765844","0.49397343176855113","0.626984126984127","0.42857142857142855","0.9315867227560016","0.9506027102470398","0.17656716489310376","0.5284751168340381","0.9281406545782128","1941.9120726585388"
"wb03b_gatv2_none_max","finished","-","","gatv2, jk_none, pool_max, wb03b","2026-02-15T08:24:26.000Z","253","","","gatv2","","0.05","","1","256","none","0.0005985526429135783","cosine","","","222466","wb03b","2","","max","","","","","10","true","","","","","","","","0.3344049095563633","0.4344706075240794","0.9183871105186592",""
"wb03b_gatv2_none_max","finished","-","","gatv2, jk_none, pool_max, wb03b","2026-02-15T08:01:31.000Z","1373","","","gatv2","","0.1","","1","128","none","0.0006047182150232518","cosine","","","62082","wb03b","2","","max","","","41","0.5349553064509704","56","","[[23646,163],[317,236]]","0.4957983193277311","0.4926880129946995","0.5914786967418546","0.4267631103074141","0.9239978469399744","0.9286348819732666","0.1998789169145332","0.5093232086812807","0.9242472107079598","1365.6832144260406"
"wb03b_sage_none_max","finished","-","","jk_none, pool_max, sage, wb03b","2026-02-15T07:57:30.000Z","238","","","sage","","0.2","","1","128","none","0.0009384009585116092","none","","","94466","wb03b","3","","max","","","","","10","true","","","","","","","","0.3771531279619284","0.384933590626022","0.9122695372179512",""
"wb03b_gatv2_none_attention","finished","-","","gatv2, jk_none, pool_attention, wb03b","2026-02-15T07:49:35.000Z","472","","","gatv2","","0.15000000000000002","","2","256","none","0.0007853376561055857","cosine","","","288515","wb03b","2","","attention","","","","","19","true","","","","","","","","0.2998748519194919","0.45802921522377454","0.925352884246663",""
"wb03b_sage_none_max","finished","-","","jk_none, pool_max, sage, wb03b","2026-02-15T07:45:09.000Z","263","","","sage","","0.1","","1","128","none","0.0007073218911366376","none","","","94466","wb03b","3","","max","","","","","11","true","","","","","","","","0.3430864447378828","0.4287292546460941","0.9124350991241044",""
"wb03b_sage_none_max","finished","-","","jk_none, pool_max, sage, wb03b","2026-02-15T07:40:18.000Z","288","","","sage","","0.15000000000000002","","1","128","none","0.0008550114873844051","none","","","94466","wb03b","3","","max","","","","","12","true","","","","","","","","0.35661633600862014","0.3754348120592863","0.9078792554583692",""
