test_idx,ccId,quadrant,size_bucket,n_nodes,n_edges,y_true,prob,y_pred
11286,84477,TP_confident,2-node,2,1,1,0.9993637204170227,1
22246,95134,TP_confident,2-node,2,1,1,0.9637759923934937,1
15860,91399,TP_confident,2-node,2,1,1,0.9998472929000854,1
21899,108775,TP_confident,2-node,2,1,1,0.9972217082977295,1
10071,108822,TP_confident,2-node,2,1,1,0.9992637038230896,1
9870,68357,TP_confident,2-node,2,1,1,0.9995064735412598,1
15952,120548,TP_confident,2-node,2,1,1,0.9988957643508911,1
19344,104133,TP_confident,2-node,2,1,1,0.9986993074417114,1
1956,113283,TP_confident,2-node,2,1,1,0.9963588118553162,1
11471,95231,TP_confident,2-node,2,1,1,0.99991774559021,1
4327,101897,TP_confident,2-node,2,1,1,0.9994421601295471,1
719,114236,TP_confident,2-node,2,1,1,0.9993340373039246,1
18389,101834,TP_confident,2-node,2,1,1,0.9999849796295166,1
8482,53526,TP_confident,3-node,3,2,1,0.9870814681053162,1
12510,44885,TP_confident,3-node,3,2,1,0.99899822473526,1
18258,53837,TP_confident,3-node,3,2,1,0.988750159740448,1
15776,54672,TP_confident,3-node,3,2,1,0.9991146922111511,1
24102,42463,TP_confident,3-node,3,2,1,0.9693097472190857,1
3401,42869,TP_confident,3-node,3,2,1,0.9962354302406311,1
9728,55899,TP_confident,3-node,3,2,1,0.999911904335022,1
16956,57549,TP_confident,3-node,3,2,1,0.9982908368110657,1
9016,63045,TP_confident,3-node,3,2,1,0.9637329578399658,1
8776,45343,TP_confident,3-node,3,2,1,0.9996751546859741,1
12623,47432,TP_confident,3-node,3,2,1,0.9995563626289368,1
6667,53672,TP_confident,3-node,3,2,1,0.996749758720398,1
18693,44056,TP_confident,3-node,3,2,1,0.9754217863082886,1
22444,14414,TP_confident,4+-node,6,7,1,0.9996817111968994,1
23302,15409,TP_confident,4+-node,6,5,1,0.9983966946601868,1
20336,37591,TP_confident,4+-node,4,3,1,0.9999556541442871,1
2575,11488,TP_confident,4+-node,7,9,1,0.997331976890564,1
2258,4729,TP_confident,4+-node,9,9,1,0.994818389415741,1
12106,16902,TP_confident,4+-node,6,7,1,0.9937463998794556,1
19236,19810,TP_confident,4+-node,6,5,1,0.9934656023979187,1
9068,16569,TP_confident,4+-node,6,5,1,0.9986735582351685,1
21384,25327,TP_confident,4+-node,5,4,1,0.9995899796485901,1
12192,13123,TP_confident,4+-node,6,5,1,0.9998512268066406,1
20196,22869,TP_confident,4+-node,6,5,1,0.9747058749198914,1
10596,10268,TP_confident,4+-node,7,6,1,0.9905112385749817,1
22964,4171,TP_confident,4+-node,9,9,1,0.9438110589981079,1
20635,118449,TP_confident,2-node,2,1,1,0.997245192527771,1
3566,91672,TP_borderline,2-node,2,1,1,0.9135647416114807,1
1402,70108,TP_borderline,2-node,2,1,1,0.9181733727455139,1
21558,94039,TP_borderline,2-node,2,1,1,0.9368119835853577,1
9574,75208,TP_borderline,2-node,2,1,1,0.9221677780151367,1
20855,73181,TP_borderline,2-node,2,1,1,0.9417931437492371,1
16335,91181,TP_borderline,2-node,2,1,1,0.941533088684082,1
5931,58201,TP_borderline,3-node,3,2,1,0.9139472246170044,1
4339,54760,TP_borderline,3-node,3,2,1,0.9305937886238098,1
18768,59414,TP_borderline,3-node,3,2,1,0.9325814247131348,1
923,57759,TP_borderline,3-node,3,2,1,0.9204906225204468,1
3650,54669,TP_borderline,3-node,3,2,1,0.9275420904159546,1
17740,12427,TP_borderline,4+-node,6,5,1,0.9196792840957642,1
7150,20240,TP_borderline,4+-node,6,5,1,0.9421039819717407,1
5544,10968,TP_borderline,4+-node,7,6,1,0.9224885106086731,1
11614,20846,TP_borderline,4+-node,6,5,1,0.917017936706543,1
20746,14457,TP_borderline,4+-node,6,5,1,0.9216535091400146,1
6275,13764,TP_borderline,4+-node,6,5,1,0.9251630902290344,1
1945,71689,TP_borderline,2-node,2,1,1,0.9235823154449463,1
18088,9998,TP_borderline,4+-node,7,6,1,0.9346275925636292,1
1157,91948,TP_borderline,2-node,2,1,1,0.9162520170211792,1
11964,119926,FP,2-node,2,1,0,0.9933056235313416,1
7426,86915,FP,2-node,2,1,0,0.9273462295532227,1
22695,117045,FP,2-node,2,1,0,0.9313623905181885,1
6893,74806,FP,2-node,2,1,0,0.9986103773117065,1
3706,68384,FP,2-node,2,1,0,0.950347363948822,1
13927,98767,FP,2-node,2,1,0,0.931547224521637,1
1049,110297,FP,2-node,2,1,0,0.9860644340515137,1
16495,121224,FP,2-node,2,1,0,0.9609166383743286,1
17110,93603,FP,2-node,2,1,0,0.9697035551071167,1
20078,98854,FP,2-node,2,1,0,0.9915110468864441,1
18247,112429,FP,2-node,2,1,0,0.9265485405921936,1
18114,66482,FP,2-node,2,1,0,0.996878981590271,1
13166,89127,FP,2-node,2,1,0,0.9897271990776062,1
22658,47323,FP,3-node,3,2,0,0.940928041934967,1
832,61300,FP,3-node,3,2,0,0.9590260982513428,1
7959,59476,FP,3-node,3,2,0,0.9717566967010498,1
22435,62367,FP,3-node,3,3,0,0.9173703789710999,1
5282,62805,FP,3-node,3,2,0,0.9636393785476685,1
15633,45622,FP,3-node,3,2,0,0.9414710998535156,1
611,44703,FP,3-node,3,2,0,0.9477236270904541,1
18425,50372,FP,3-node,3,2,0,0.9844490885734558,1
10745,53077,FP,3-node,3,2,0,0.9726954102516174,1
6008,46741,FP,3-node,3,2,0,0.9938451051712036,1
22380,60900,FP,3-node,3,2,0,0.9310300946235657,1
3940,57814,FP,3-node,3,2,0,0.9332090616226196,1
9154,59282,FP,3-node,3,2,0,0.9422245025634766,1
13698,40445,FP,4+-node,4,3,0,0.9531140327453613,1
7314,30155,FP,4+-node,5,4,0,0.9537385106086731,1
2822,17437,FP,4+-node,6,5,0,0.9458092451095581,1
9382,15305,FP,4+-node,6,5,0,0.9856235980987549,1
17941,36581,FP,4+-node,4,3,0,0.9425257444381714,1
24185,9428,FP,4+-node,7,6,0,0.9930688142776489,1
7096,11731,FP,4+-node,6,7,0,0.9717857241630554,1
