ccId,n_edges,jaccard_gnn_attn
84477,2,1.0
95134,2,0.0
91399,2,0.0
108775,2,1.0
108822,2,0.0
68357,2,1.0
120548,2,0.0
104133,2,0.0
113283,2,1.0
95231,2,1.0
101897,2,0.0
114236,2,0.0
101834,2,1.0
53526,4,0.3333333333333333
44885,4,1.0
53837,4,0.0
54672,4,1.0
42463,4,0.0
42869,4,1.0
55899,4,0.3333333333333333
57549,4,1.0
63045,4,0.3333333333333333
45343,4,1.0
47432,4,1.0
53672,4,0.3333333333333333
44056,4,0.3333333333333333
14414,14,0.4
15409,10,0.42857142857142855
37591,6,0.2
11488,18,0.2
4729,18,0.2857142857142857
16902,14,0.2727272727272727
19810,10,0.42857142857142855
16569,10,0.6666666666666666
25327,8,0.3333333333333333
13123,10,0.25
22869,10,0.25
10268,12,0.5
4171,18,0.2857142857142857
118449,2,1.0
91672,2,1.0
70108,2,1.0
94039,2,1.0
75208,2,1.0
73181,2,1.0
91181,2,0.0
58201,4,0.3333333333333333
54760,4,1.0
59414,4,0.3333333333333333
57759,4,0.0
54669,4,0.3333333333333333
12427,10,0.42857142857142855
20240,10,0.42857142857142855
10968,12,0.3333333333333333
20846,10,0.25
14457,10,0.42857142857142855
13764,10,0.1111111111111111
71689,2,0.0
9998,12,0.3333333333333333
91948,2,1.0
119926,2,0.0
86915,2,1.0
117045,2,0.0
74806,2,0.0
68384,2,1.0
98767,2,0.0
110297,2,0.0
121224,2,0.0
93603,2,0.0
98854,2,0.0
112429,2,1.0
66482,2,0.0
89127,2,0.0
47323,4,0.3333333333333333
61300,4,0.3333333333333333
59476,4,0.3333333333333333
62367,6,0.5
62805,4,0.0
45622,4,0.3333333333333333
44703,4,1.0
50372,4,1.0
53077,4,0.3333333333333333
46741,4,0.3333333333333333
60900,4,0.3333333333333333
57814,4,1.0
59282,4,0.3333333333333333
40445,6,0.5
30155,8,0.14285714285714285
17437,10,0.25
15305,10,0.42857142857142855
36581,6,0.2
9428,12,0.5
11731,14,0.16666666666666666
28931,8,0.3333333333333333
28995,10,0.25
16019,10,0.25
9550,12,0.5
23863,8,0.14285714285714285
7739,14,0.4
115865,2,1.0
98777,2,1.0
94618,2,0.0
72861,2,1.0
82580,2,0.0
87815,2,0.0
88568,2,1.0
105568,2,1.0
68806,2,0.0
106700,2,1.0
64910,2,0.0
93075,2,0.0
66263,2,0.0
116561,2,0.0
57108,4,0.3333333333333333
54742,4,1.0
47334,4,0.3333333333333333
53089,4,0.3333333333333333
57393,4,0.3333333333333333
42180,4,0.3333333333333333
62339,4,0.3333333333333333
50436,4,0.3333333333333333
58761,4,1.0
42224,4,0.3333333333333333
53361,4,0.3333333333333333
58342,4,0.3333333333333333
49084,4,0.3333333333333333
37803,6,0.2
13806,10,0.42857142857142855
16359,10,0.25
35000,6,0.5
33411,6,0.5
36647,6,0.5
34802,6,0.2
30352,6,0.2
22337,12,0.09090909090909091
3468,18,0.6363636363636364
16001,10,0.0
16686,10,0.42857142857142855
40954,6,0.5
34064,6,0.5
122645,2,1.0
118176,2,1.0
74406,2,0.0
71294,2,0.0
119038,2,0.0
86316,2,0.0
119434,2,0.0
98544,2,0.0
113962,2,0.0
90830,2,1.0
52592,4,0.0
60510,4,0.3333333333333333
45332,4,0.3333333333333333
63174,4,0.0
62777,4,0.0
60554,4,0.0
45429,4,0.3333333333333333
56908,4,0.3333333333333333
50357,4,0.3333333333333333
55541,4,0.0
29235,8,0.3333333333333333
19052,10,0.42857142857142855
19642,10,0.42857142857142855
34498,6,0.5
8849,12,0.5
24959,8,0.6
14397,10,0.42857142857142855
18849,10,0.6666666666666666
23395,10,0.25
37462,6,0.2
89694,2,1.0
72885,2,0.0
102099,2,1.0
114690,2,1.0
98987,2,1.0
117014,2,1.0
102232,2,1.0
69296,2,0.0
105379,2,1.0
94441,2,0.0
49420,6,0.2
45221,4,0.0
60450,4,0.3333333333333333
59553,4,0.0
53447,4,0.3333333333333333
47941,4,0.3333333333333333
62039,4,0.3333333333333333
48893,4,0.3333333333333333
55452,6,1.0
56700,4,0.3333333333333333
30760,6,0.5
29265,8,0.6
11541,12,0.3333333333333333
10461,12,0.09090909090909091
18022,10,0.42857142857142855
29580,8,0.3333333333333333
33734,6,0.2
13501,14,0.2727272727272727
34697,6,0.2
23311,10,0.25
